unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1660363200000,2022-08-13 04:00:00,ETH/GBP,1646.23000000,1655.67000000,1637.22000000,1641.64000000,682.53970000,1121993.43846700,1356
1660359600000,2022-08-13 03:00:00,ETH/GBP,1631.36000000,1646.72000000,1622.36000000,1644.87000000,766.01160000,1249266.63670000,1466
1660356000000,2022-08-13 02:00:00,ETH/GBP,1619.36000000,1632.38000000,1616.67000000,1630.87000000,371.66890000,602190.53311200,704
1660352400000,2022-08-13 01:00:00,ETH/GBP,1624.97000000,1625.14000000,1614.19000000,1618.86000000,433.31620000,701747.67211700,862
1660348800000,2022-08-13 00:00:00,ETH/GBP,1615.09000000,1625.71000000,1605.79000000,1623.67000000,361.53900000,582980.58374100,815
1660345200000,2022-08-12 23:00:00,ETH/GBP,1592.24000000,1619.61000000,1588.34000000,1614.88000000,777.07710000,1248885.38810400,1407
1660341600000,2022-08-12 22:00:00,ETH/GBP,1585.00000000,1592.98000000,1581.82000000,1592.98000000,277.02150000,439375.34117600,523
1660338000000,2022-08-12 21:00:00,ETH/GBP,1593.40000000,1595.11000000,1584.32000000,1584.89000000,238.07720000,378114.36085400,479
1660334400000,2022-08-12 20:00:00,ETH/GBP,1587.62000000,1597.59000000,1580.98000000,1593.25000000,502.64680000,797128.91692000,1058
1660330800000,2022-08-12 19:00:00,ETH/GBP,1575.50000000,1591.84000000,1575.50000000,1587.88000000,492.53290000,780632.09321800,1088
1660327200000,2022-08-12 18:00:00,ETH/GBP,1565.54000000,1585.71000000,1563.33000000,1576.28000000,523.86080000,824610.90465600,1069
1660323600000,2022-08-12 17:00:00,ETH/GBP,1563.03000000,1567.97000000,1560.46000000,1565.39000000,314.98420000,492564.87794200,694
1660320000000,2022-08-12 16:00:00,ETH/GBP,1565.82000000,1573.08000000,1561.44000000,1562.92000000,474.40280000,743449.50715100,910
1660316400000,2022-08-12 15:00:00,ETH/GBP,1554.36000000,1572.10000000,1551.95000000,1565.64000000,477.89780000,747479.94382700,903
1660312800000,2022-08-12 14:00:00,ETH/GBP,1552.34000000,1560.71000000,1540.00000000,1554.60000000,536.78040000,834200.46436300,975
1660309200000,2022-08-12 13:00:00,ETH/GBP,1554.22000000,1564.03000000,1544.26000000,1552.34000000,792.40660000,1231664.50281500,1293
1660305600000,2022-08-12 12:00:00,ETH/GBP,1542.66000000,1555.57000000,1540.86000000,1553.98000000,820.52030000,1272095.71935200,1269
1660302000000,2022-08-12 11:00:00,ETH/GBP,1547.02000000,1552.77000000,1530.18000000,1542.55000000,1159.14440000,1787619.93513500,1520
1660298400000,2022-08-12 10:00:00,ETH/GBP,1559.68000000,1561.28000000,1546.57000000,1548.01000000,1036.08900000,1613207.05590100,1491
1660294800000,2022-08-12 09:00:00,ETH/GBP,1551.42000000,1569.43000000,1551.03000000,1559.70000000,772.93970000,1206708.02382800,1132
1660291200000,2022-08-12 08:00:00,ETH/GBP,1552.43000000,1558.62000000,1549.23000000,1550.59000000,775.69680000,1206225.55962300,1130
1660287600000,2022-08-12 07:00:00,ETH/GBP,1552.52000000,1553.36000000,1545.52000000,1552.50000000,799.07140000,1238144.63253800,1053
1660284000000,2022-08-12 06:00:00,ETH/GBP,1554.16000000,1556.37000000,1545.44000000,1552.98000000,842.09220000,1305609.18355400,1064
1660280400000,2022-08-12 05:00:00,ETH/GBP,1553.14000000,1561.26000000,1551.45000000,1552.79000000,814.63150000,1266994.20415900,978
1660276800000,2022-08-12 04:00:00,ETH/GBP,1563.14000000,1567.24000000,1551.13000000,1553.14000000,811.93530000,1265929.94529100,1071
1660273200000,2022-08-12 03:00:00,ETH/GBP,1563.74000000,1566.64000000,1556.92000000,1563.53000000,832.24630000,1299165.69846000,866
1660269600000,2022-08-12 02:00:00,ETH/GBP,1544.21000000,1571.47000000,1537.16000000,1562.43000000,1281.05900000,1989207.35224700,1542
1660266000000,2022-08-12 01:00:00,ETH/GBP,1548.65000000,1553.95000000,1542.39000000,1544.37000000,858.01960000,1328591.38331900,1050
1660262400000,2022-08-12 00:00:00,ETH/GBP,1543.95000000,1552.60000000,1524.12000000,1548.62000000,1201.71450000,1851211.12731700,1577
1660258800000,2022-08-11 23:00:00,ETH/GBP,1535.85000000,1545.61000000,1533.18000000,1543.87000000,1016.09730000,1563371.50276100,1167
1660255200000,2022-08-11 22:00:00,ETH/GBP,1558.20000000,1558.99000000,1536.84000000,1537.76000000,1294.27650000,2004534.47791700,1488
1660251600000,2022-08-11 21:00:00,ETH/GBP,1560.99000000,1563.40000000,1548.97000000,1558.76000000,694.28070000,1081357.99461200,937
1660248000000,2022-08-11 20:00:00,ETH/GBP,1559.71000000,1562.82000000,1547.47000000,1561.10000000,930.23040000,1446585.21901200,1187
1660244400000,2022-08-11 19:00:00,ETH/GBP,1548.29000000,1558.57000000,1540.34000000,1558.38000000,1206.86740000,1869905.84898000,1571
1660240800000,2022-08-11 18:00:00,ETH/GBP,1557.26000000,1557.26000000,1537.00000000,1548.14000000,1679.82810000,2598861.94910400,2096
